dataset,policy,capacity_type,requested_capacity,effective_capacity_terms,actual_pct_eligible_vocab,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
fiqa,hybrid,percentage,0.02,375,2.0,0.6608440891941014,0.18221067306196925,1.0,0.06666666666666668,72.29822355508159,0.0,0.2
fiqa,hybrid,percentage,0.05,939,5.0,0.7167847265099884,0.23815131037785617,1.0,0.06666666666666668,94.49455615466668,0.0,0.4
fiqa,hybrid,percentage,0.1,1879,10.0,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.6
fiqa,hybrid,percentage,0.15,2819,15.0,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,hybrid,percentage,0.2,3759,20.0,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,hybrid,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2819,14.997871887635666,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,stratified,fixed,1000,1000,5.320280910832092,0.6923851465893562,0.21375173045722398,1.0,0.06666666666666668,84.81320075375666,0.0,0.4
fiqa,stratified,fixed,2500,2500,13.300702277080228,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.6
fiqa,stratified,fixed,5000,5000,26.601404554160457,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.6
fiqa,stratified,fixed,10000,10000,53.20280910832091,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,stratified,fixed,15000,15000,79.80421366248139,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,stratified,fixed,20000,20000,106.40561821664183,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,stratified,percentage,0.02,375,2.0,0.672211652356102,0.19357823622396975,0.9666666666666668,0.03333333333333335,76.80868723403036,0.0,0.4
fiqa,stratified,percentage,0.05,939,5.0,0.6923851465893562,0.21375173045722398,1.0,0.06666666666666668,84.81320075375666,0.0,0.4
fiqa,stratified,percentage,0.1,1879,10.0,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.6
fiqa,stratified,percentage,0.15,2819,15.0,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.6
fiqa,stratified,percentage,0.2,3759,20.0,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.6
fiqa,stratified,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2819,14.997871887635666,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.6
fiqa,coverage,fixed,1000,1000,5.320280910832092,0.6652275318932374,0.18659411576110516,0.9666666666666668,0.03333333333333335,74.03750213233175,0.0,0.2
fiqa,coverage,fixed,2500,2500,13.300702277080228,0.7104864089994207,0.2318529928672885,0.9666666666666668,0.03333333333333335,91.99548648027368,0.0,0.8
fiqa,coverage,fixed,5000,5000,26.601404554160457,0.7287048896441124,0.2500714735119801,0.9666666666666668,0.03333333333333335,99.22428249068015,0.0,0.8
fiqa,coverage,fixed,10000,10000,53.20280910832091,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,coverage,fixed,15000,15000,79.80421366248139,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,coverage,fixed,20000,20000,106.40561821664183,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,coverage,percentage,0.02,375,2.0,0.6652275318932374,0.18659411576110516,0.9666666666666668,0.03333333333333335,74.03750213233175,0.0,0.0
fiqa,coverage,percentage,0.05,939,5.0,0.6652275318932374,0.18659411576110516,0.9666666666666668,0.03333333333333335,74.03750213233175,0.0,0.2
fiqa,coverage,percentage,0.1,1879,10.0,0.7104864089994207,0.2318529928672885,0.9666666666666668,0.03333333333333335,91.99548648027368,0.0,0.4
fiqa,coverage,percentage,0.15,2819,15.0,0.7104864089994207,0.2318529928672885,0.9666666666666668,0.03333333333333335,91.99548648027368,0.0,0.8
fiqa,coverage,percentage,0.2,3759,20.0,0.7104864089994207,0.2318529928672885,0.9666666666666668,0.03333333333333335,91.99548648027368,0.0,0.8
fiqa,coverage,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2819,14.997871887635666,0.7104864089994207,0.2318529928672885,0.9666666666666668,0.03333333333333335,91.99548648027368,0.0,0.8
scidocs,salience,fixed,1000,1000,5.509338328466751,0.40819847372298995,0.291514736814224,0.68,0.23999999999999994,87.19840919331529,0.4,0.4
scidocs,salience,fixed,2500,2500,13.773345821166878,0.40819847372298995,0.291514736814224,0.68,0.23999999999999994,87.19840919331529,0.4,0.4
scidocs,salience,fixed,5000,5000,27.546691642333755,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,salience,fixed,10000,10000,55.09338328466751,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,salience,fixed,15000,15000,82.64007492700128,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,salience,fixed,20000,20000,110.18676656933502,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,salience,percentage,0.02,363,2.0,0.3605588317470689,0.24387509483830289,0.68,0.23999999999999994,72.94835432392208,0.4,0.4
scidocs,salience,percentage,0.05,907,5.0,0.40819847372298995,0.291514736814224,0.68,0.23999999999999994,87.19840919331529,0.4,0.4
scidocs,salience,percentage,0.1,1815,10.0,0.40819847372298995,0.291514736814224,0.68,0.23999999999999994,87.19840919331529,0.4,0.4
scidocs,salience,percentage,0.15,2722,15.0,0.4130408627520056,0.29635712584323964,0.72,0.2799999999999999,88.64687325602377,0.4,0.4
scidocs,salience,percentage,0.2,3630,20.0,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.4
scidocs,salience,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2722,14.996418930086497,0.4130408627520056,0.29635712584323964,0.72,0.2799999999999999,88.64687325602377,0.4,0.4
scidocs,specificity,fixed,1000,1000,5.509338328466751,0.3605588317470689,0.24387509483830289,0.68,0.23999999999999994,72.94835432392208,0.4,0.4
scidocs,specificity,fixed,2500,2500,13.773345821166878,0.40819847372298995,0.291514736814224,0.68,0.23999999999999994,87.19840919331529,0.4,0.4
scidocs,specificity,fixed,5000,5000,27.546691642333755,0.4255582568059144,0.3088745198971484,0.72,0.2799999999999999,92.39109854176736,0.4,0.4
