dataset,category,model_family,config_label,p,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,ndcg_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_qaug_len,avg_anchors,avg_synonyms,avg_r_anchor
bright_robotics_doc_level,Baseline,BM25_Blank,bm25_blank,-,"BM25 (Standard Lucene, unstemmed)","k1=1.2, b=0.75, unstemmed",101,18.81,24.75,27.72,32.67,6.93,10.89,10.89,13.86,9.76,14.97,16.85,21.49,2.77,2.33,2.01,1.6,0.0897,0.0684,1.78,2.1,3.54,1.637,0.0,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,"BM25 (Analyzed Lucene, kstem)","k1=1.2, b=0.75, kstem+wordnet",101,17.82,22.77,27.72,36.63,5.94,7.92,8.91,11.88,8.07,12.16,15.03,20.81,1.98,1.93,1.72,1.58,0.0719,0.0537,1.28,1.59,3.67,3.058,0.0,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",101,30.69,37.62,39.6,46.53,9.9,11.88,12.87,14.85,15.33,18.72,19.94,24.65,4.85,3.22,2.44,1.86,0.1571,0.1219,84.51,85.52,89.07,15.661,1.285,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert, inverted index",101,35.64,42.57,47.52,53.47,10.89,12.87,16.83,19.8,18.5,22.97,27.79,33.53,5.94,4.16,3.47,2.67,0.2038,0.1533,12.72,13.62,20.04,248.055,11.462,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",101,25.74,33.66,43.56,47.52,8.91,12.87,15.84,16.83,13.86,19.24,24.57,27.92,3.76,3.22,2.77,2.18,0.1017,0.0893,20.7,26.81,64.97,9.114,0.389,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Baseline,BM25_Blank,bm25_blank,-,"BM25 (Standard Lucene, unstemmed)","k1=1.2, b=0.75, unstemmed",2255,99.47,99.82,99.87,99.91,64.43,85.32,90.51,95.03,84.89,94.46,96.54,98.22,21.8,12.27,8.39,5.14,0.8074,0.7312,0.28,0.29,0.39,0.614,0.0,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,"BM25 (Analyzed Lucene, kstem)","k1=1.2, b=0.75, kstem+wordnet",2255,99.16,99.6,99.73,99.73,64.97,85.23,90.86,95.17,84.95,94.22,96.46,98.07,21.81,12.25,8.39,5.13,0.8125,0.7338,0.29,0.29,0.4,1.499,0.0,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",2255,95.96,98.98,99.47,99.65,44.08,58.36,66.83,77.38,73.03,83.29,87.46,91.67,18.84,10.8,7.57,4.77,0.712,0.6153,12.2,12.31,13.02,1.235,1.223,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert, inverted index",2255,98.18,99.38,99.51,99.73,47.76,67.27,75.65,85.14,76.42,87.02,90.42,94.26,19.59,11.27,7.84,4.92,0.7416,0.6502,5.48,5.52,6.22,3.559,11.462,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",2255,99.33,99.56,99.78,99.78,63.5,83.86,89.49,94.77,84.7,93.66,96.02,97.9,21.71,12.18,8.35,5.12,0.8127,0.7325,11.64,11.76,13.46,5.771,0.37,0.0,0.0,0.0,0.0
financebench_doc_level,Baseline,BM25_Blank,bm25_blank,-,"BM25 (Standard Lucene, unstemmed)","k1=1.2, b=0.75, unstemmed",150,50.0,60.0,65.33,75.33,46.0,53.33,60.67,71.33,48.11,56.67,63.22,73.33,5.4,3.3,2.51,1.8,0.2949,0.335,0.13,0.13,0.2,0.032,0.0,0.0,0.0,0.0,0.0
financebench_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,"BM25 (Analyzed Lucene, kstem)","k1=1.2, b=0.75, kstem+wordnet",150,63.33,74.0,80.67,87.33,54.67,66.67,72.67,82.0,59.0,70.44,76.78,84.78,7.07,4.37,3.16,2.09,0.3551,0.4011,0.15,0.16,0.27,0.095,0.0,0.0,0.0,0.0,0.0
financebench_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",150,90.67,94.0,95.33,96.67,82.0,90.0,92.0,94.0,86.22,92.11,93.78,95.44,10.6,5.73,3.89,2.37,0.6035,0.6531,11.74,12.03,12.39,0.54,0.879,0.0,0.0,0.0,0.0
financebench_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert, inverted index",150,87.33,94.0,95.33,96.67,77.33,86.67,92.67,95.33,82.33,90.44,94.11,96.11,10.07,5.53,3.89,2.4,0.6128,0.6391,4.75,4.99,5.69,1.161,11.462,0.0,0.0,0.0,0.0
financebench_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",150,56.67,71.33,77.33,86.0,53.33,62.0,70.0,81.33,55.0,66.67,73.89,83.67,6.33,4.0,2.98,2.09,0.3407,0.3827,9.51,10.1,12.5,3.121,0.355,0.0,0.0,0.0,0.0
