dataset,policy,capacity_type,requested_capacity,effective_capacity_terms,actual_pct_eligible_vocab,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
fiqa,coverage,fixed,5000,5000,26.601404554160457,0.5264787404665956,0.3056121148041217,0.9413333333333332,0.1625,84.98887027113166,0.06,0.36
fiqa,coverage,fixed,10000,10000,53.20280910832091,0.5539141122993945,0.3330474866369206,0.9546666666666667,0.17583333333333337,92.61848030485848,0.08,0.38
fiqa,coverage,fixed,15000,15000,79.80421366248139,0.5715385779412742,0.3506719522788002,0.9546666666666667,0.17583333333333337,97.51973700077113,0.08,0.38
fiqa,coverage,fixed,20000,20000,106.40561821664183,0.5804573742265593,0.35959074856408535,0.9546666666666667,0.17583333333333337,100.0,0.08,0.38
fiqa,coverage,percentage,0.02,375,2.0,0.3974671808129379,0.1766005551504639,0.8913333333333334,0.1125,49.111540231683854,0.04,0.24
fiqa,coverage,percentage,0.05,939,5.0,0.4270765824102576,0.2062099567477837,0.8913333333333334,0.1125,57.34573471959985,0.04,0.28
fiqa,coverage,percentage,0.1,1879,10.0,0.47861709111795975,0.2577504654554858,0.9080000000000001,0.12916666666666665,71.67883670109221,0.04,0.32
fiqa,coverage,percentage,0.15,2819,15.0,0.48926386516624065,0.2683972395037667,0.9213333333333332,0.1425,74.63963980595392,0.04,0.36
fiqa,coverage,percentage,0.2,3759,20.0,0.5034577542692609,0.282591128606787,0.9213333333333332,0.1425,78.58687403255713,0.04,0.36
fiqa,coverage,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2819,14.997871887635666,0.48926386516624065,0.2683972395037667,0.9213333333333332,0.1425,74.63963980595392,0.04,0.36
scidocs,salience,fixed,1000,1000,5.509338328466751,0.36241563438180807,0.17695172924156036,0.787,0.19399999999999995,67.43018214604415,0.24,0.3
scidocs,salience,fixed,2500,2500,13.773345821166878,0.3848976728415434,0.19943376770129576,0.816,0.22299999999999998,75.99730920861639,0.26,0.4
scidocs,salience,fixed,5000,5000,27.546691642333755,0.410606394957627,0.22514248981737928,0.8600000000000001,0.267,85.79401378143834,0.3,0.42
scidocs,salience,fixed,10000,10000,55.09338328466751,0.4402721755619748,0.2548082704217271,0.868,0.275,97.09861644471614,0.32,0.42
scidocs,salience,fixed,15000,15000,82.64007492700128,0.4477887619981597,0.262324856857912,0.868,0.275,99.96292748977257,0.32,0.44
scidocs,salience,fixed,20000,20000,110.18676656933502,0.44788604847408614,0.2624221433338385,0.868,0.275,100.0,0.34,0.44
scidocs,salience,percentage,0.02,363,2.0,0.31093849558537123,0.12547459044512355,0.7489999999999999,0.156,47.81402546716567,0.16,0.26
scidocs,salience,percentage,0.05,907,5.0,0.3577238212095271,0.1722599160692794,0.787,0.19399999999999995,65.64229446527314,0.24,0.3
scidocs,salience,percentage,0.1,1815,10.0,0.3768613997591041,0.19139749461885644,0.8079999999999999,0.21499999999999994,72.9349635618864,0.24,0.38
scidocs,salience,percentage,0.15,2722,15.0,0.3861433216759735,0.20067941653572582,0.8320000000000001,0.239,76.47198288462758,0.26,0.4
scidocs,salience,percentage,0.2,3630,20.0,0.39183927681140646,0.2063753716711588,0.848,0.255,78.64251432800006,0.28,0.4
scidocs,salience,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2722,14.996418930086497,0.3861433216759735,0.20067941653572582,0.8320000000000001,0.239,76.47198288462758,0.26,0.4
scidocs,specificity,fixed,1000,1000,5.509338328466751,0.341822309540307,0.15635840440005944,0.786,0.19299999999999998,59.58277850095492,0.24,0.32
scidocs,specificity,fixed,2500,2500,13.773345821166878,0.38549914302148997,0.2000352378812423,0.816,0.22299999999999998,76.2265086855757,0.3,0.4
scidocs,specificity,fixed,5000,5000,27.546691642333755,0.4164043935163753,0.23094048837612768,0.848,0.255,88.00343044311559,0.32,0.4
scidocs,specificity,fixed,10000,10000,55.09338328466751,0.4405209230891968,0.2550570179489492,0.868,0.275,97.19340552160652,0.34,0.42
scidocs,specificity,fixed,15000,15000,82.64007492700128,0.44788604847408614,0.2624221433338385,0.868,0.275,100.0,0.34,0.42
scidocs,specificity,fixed,20000,20000,110.18676656933502,0.44788604847408614,0.2624221433338385,0.868,0.275,100.0,0.34,0.44
