dataset,partition_type,partition_bin,instance_count,ranking_safe_pct_w_0.05,ranking_safe_pct_w_0.1,ranking_safe_pct_w_0.3,ranking_safe_pct_w_0.5,ranking_safe_pct_w_1.0,ranking_safe_pct_no_safe,recall_safe_pct_w_0.05,recall_safe_pct_w_0.1,recall_safe_pct_w_0.3,recall_safe_pct_w_0.5,recall_safe_pct_w_1.0,recall_safe_pct_no_safe
bright_aops,df_band,DF>20_rel>1%,2694,0.03711952487008166,0.0,0.3711952487008166,0.2969561989606533,2.1158129175946545,97.1789161098738,0.0,0.0,0.6310319227913883,1.3734224201930216,3.155159613956941,94.84038604305864
bright_aops,df_band,DF>20_rel_0.1-1%,1698,0.0,0.0,0.7656065959952886,0.11778563015312131,3.828032979976443,95.28857479387514,0.0,0.058892815076560655,2.8857479387514724,2.65017667844523,6.9493521790341575,87.45583038869258
bright_aops,idf_decile,D1,1496,0.06684491978609625,0.0,0.4679144385026738,0.4010695187165776,2.072192513368984,96.99197860962568,0.0,0.0,0.2005347593582888,0.8021390374331552,2.941176470588235,96.05614973262033
bright_aops,idf_decile,D10,305,0.0,0.0,0.0,0.6557377049180327,8.19672131147541,91.14754098360656,0.0,0.9836065573770493,2.622950819672131,1.639344262295082,10.819672131147541,83.93442622950819
bright_aops,idf_decile,D2,751,0.0,0.0,0.13315579227696406,0.2663115845539281,2.130492676431425,97.47003994673769,0.0,0.0,1.5978695073235687,1.1984021304926764,3.462050599201065,93.74167776298269
bright_aops,idf_decile,D3,634,0.0,0.0,0.9463722397476341,0.0,2.365930599369085,96.68769716088327,0.0,0.0,0.6309148264984227,3.4700315457413247,3.7854889589905363,92.11356466876973
bright_aops,idf_decile,D4,507,0.0,0.0,0.591715976331361,0.19723865877712032,2.9585798816568047,96.25246548323472,0.0,0.0,1.7751479289940828,3.353057199211045,6.903353057199212,87.96844181459566
bright_aops,idf_decile,D5,438,0.0,0.0,0.91324200913242,0.228310502283105,3.65296803652968,95.2054794520548,0.0,0.228310502283105,3.4246575342465753,3.4246575342465753,9.58904109589041,83.33333333333334
bright_aops,idf_decile,D6,451,0.0,0.0,0.4434589800443459,0.0,5.986696230598669,93.56984478935698,0.0,0.0,4.434589800443459,1.5521064301552108,5.543237250554324,88.470066518847
bright_aops,idf_decile,D7,347,0.0,0.0,0.0,0.0,4.899135446685879,95.10086455331412,0.0,0.0,3.45821325648415,1.440922190201729,7.780979827089338,87.31988472622479
