stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage2,gate_variant_single__dtau_0.0__beta_1.0,beir_nfcorpus_doc_level,Edge-RAG,v7,Gate Variant: single,"gate_variant=single, delta_tau=0.0, beta=1.0",323,69.97,74.92,76.78,78.33,4.33,4.95,4.95,5.26,15.07,18.51,19.94,22.31,23.13,16.75,13.36,10.17,0.5387,24.11,24.18,36.33,0.0,0.0,2.76,2040.08,0.0
stage2,gate_variant_two_gate__dtau_0.0__beta_1.0,beir_nfcorpus_doc_level,Edge-RAG,v7,Gate Variant: two_gate,"gate_variant=two_gate, delta_tau=0.0, beta=1.0",323,69.97,74.92,76.78,78.33,4.33,4.95,4.95,5.26,15.08,18.52,19.94,22.25,23.16,16.76,13.36,10.15,0.5387,35.46,35.24,46.26,0.0,0.0,2.76,1818.54,0.0
stage2,gate_variant_soft_reweight__dtau_0.0__beta_1.0,beir_nfcorpus_doc_level,Edge-RAG,v7,Gate Variant: soft_reweight,"gate_variant=soft_reweight, delta_tau=0.0, beta=1.0",323,70.59,74.92,76.78,78.33,4.64,4.95,4.95,5.26,15.45,18.53,19.93,22.34,23.28,16.78,13.36,10.19,0.541,36.46,36.45,49.91,0.0,0.0,2.76,2040.08,0.0
stage2,gate_dtau_-0.25__beta_1.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate d_tau=-0.25 (beta=1.0, single)","delta_tau=-0.25, beta=1.0, gate=single",500,45.2,55.6,60.0,66.6,16.2,23.4,25.6,29.2,28.43,37.6,40.98,46.65,6.06,4.01,2.99,2.11,0.2555,53.78,54.19,70.65,0.0,0.0,7.69,12610.56,0.0
stage2,gate_dtau_-0.20__beta_1.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate d_tau=-0.20 (beta=1.0, single)","delta_tau=-0.2, beta=1.0, gate=single",500,45.2,55.6,60.0,66.6,16.2,23.4,25.6,29.2,28.43,37.6,40.98,46.65,6.06,4.01,2.99,2.11,0.2555,50.26,50.64,66.65,0.0,0.0,7.69,10969.21,0.0
stage2,gate_dtau_-0.15__beta_1.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate d_tau=-0.15 (beta=1.0, single)","delta_tau=-0.15, beta=1.0, gate=single",500,45.2,55.6,60.0,66.6,16.2,23.4,25.6,29.2,28.43,37.6,40.98,46.65,6.06,4.01,2.99,2.11,0.2555,45.68,45.79,59.3,0.0,0.0,7.69,8952.89,0.0
stage2,gate_dtau_-0.10__beta_1.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate d_tau=-0.10 (beta=1.0, single)","delta_tau=-0.1, beta=1.0, gate=single",500,45.2,55.6,60.0,66.6,16.2,23.4,25.6,29.2,28.43,37.6,40.98,46.65,6.06,4.01,2.99,2.11,0.2545,39.54,39.78,50.93,0.0,0.0,7.69,6679.39,0.0
stage2,gate_dtau_-0.05__beta_1.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate d_tau=-0.05 (beta=1.0, single)","delta_tau=-0.05, beta=1.0, gate=single",500,45.2,55.6,60.0,66.6,16.2,23.4,25.6,29.2,28.43,37.6,40.98,46.65,6.06,4.01,2.99,2.11,0.2545,33.12,33.25,41.94,0.0,0.0,7.69,4460.24,0.0
stage2,gate_dtau_+0.00__beta_1.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate d_tau=+0.00 (beta=1.0, single)","delta_tau=0.0, beta=1.0, gate=single",500,45.2,55.6,60.0,66.4,16.2,23.4,25.6,29.2,28.46,37.6,40.98,46.55,6.08,4.01,2.99,2.11,0.2558,27.99,27.9,34.57,0.0,0.0,7.69,2729.9,0.0
stage2,gate_dtau_+0.05__beta_1.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate d_tau=+0.05 (beta=1.0, single)","delta_tau=0.05, beta=1.0, gate=single",500,45.2,55.6,60.0,66.6,16.2,23.6,25.6,29.2,28.46,37.7,40.98,46.65,6.08,4.01,2.99,2.11,0.2551,23.96,24.07,29.46,0.0,0.0,7.69,1645.31,0.0
