dataset,category,model_family,config_label,p,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_qaug_len,avg_anchors,avg_synonyms,avg_r_anchor
bright_economics_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",103,35.92,46.6,51.46,57.28,9.71,12.62,17.48,25.24,15.98,24.94,30.87,38.82,7.09,6.55,5.63,4.31,0.1717,73.74,73.95,75.65,14.911,1.349,0.0,0.0,0.0,0.0
bright_economics_doc_level,Baseline,Dense_BGE_Large,dense_bge_large,-,Dense (bge-large-en-v1.5),"dim=1024, cosine, fp16",103,33.98,41.75,47.57,58.25,9.71,14.56,18.45,24.27,16.71,24.63,28.69,38.43,8.16,6.36,5.4,4.35,0.2188,181.97,182.11,184.77,96.16,3.785,0.0,0.0,0.0,0.0
bright_economics_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",103,31.07,39.81,46.6,53.4,8.74,15.53,18.45,22.33,15.14,24.08,28.96,34.44,7.48,5.87,5.02,3.84,0.1791,48.5,49.11,55.41,169.27,4.147,0.0,0.0,0.0,0.0
bright_economics_doc_level,Edge-RAG,v7,v7,1.0,Edge-RAG V7 Default (p=1.00),"p=1.00, tau_base=0.55, Delta_tau=0.0, mu=0.50, eta=0.0, eps=0.0",103,20.39,28.16,30.1,40.78,8.74,12.62,12.62,14.56,11.84,16.75,18.2,24.1,3.4,2.96,2.56,2.23,0.0603,71.6,78.44,128.11,19.816,0.582,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Baseline,BM25_Analyzed_Parity,bm25_analyzed_parity,-,BM25 (Analyzed Parity Baseline),"k1=1.2, b=0.75, kstem+wordnet",117,29.06,34.19,41.88,48.72,8.55,11.97,12.82,17.95,16.02,21.12,25.75,31.62,5.47,3.8,3.5,2.51,0.1827,2.86,3.0,4.66,20.129,0.0,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",117,26.5,37.61,42.74,47.86,5.98,16.24,19.66,22.22,12.63,23.25,28.4,32.83,4.1,3.68,3.05,2.32,0.1023,143.6,143.92,147.04,81.071,1.349,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Baseline,Dense_BGE_Large,dense_bge_large,-,Dense (bge-large-en-v1.5),"dim=1024, cosine, fp16",117,31.62,46.15,51.28,60.68,8.55,17.09,23.08,26.5,16.08,26.91,34.25,41.29,4.44,3.72,3.3,2.7,0.1271,365.42,365.39,371.43,548.537,3.785,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",117,33.33,42.74,47.01,50.43,8.55,11.11,13.68,16.24,17.0,23.21,27.82,31.37,5.3,3.97,3.39,2.58,0.1351,141.42,142.01,154.82,685.922,4.627,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Edge-RAG,v7,v7,1.0,Edge-RAG V7 Default (p=1.00),"p=1.00, tau_base=0.55, Delta_tau=0.0, mu=0.50, eta=0.0, eps=0.0",117,18.8,27.35,30.77,38.46,5.13,10.26,11.97,17.95,9.69,17.27,20.45,27.84,3.16,2.86,2.36,2.1,0.0798,116.14,129.7,238.69,40.976,0.696,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Baseline,BM25_Analyzed_Parity,bm25_analyzed_parity,-,BM25 (Analyzed Parity Baseline),"k1=1.2, b=0.75, kstem+wordnet",101,17.82,22.77,27.72,36.63,5.94,7.92,8.91,11.88,8.07,12.16,15.03,20.81,1.98,1.93,1.72,1.58,0.0719,1.39,1.73,3.93,3.014,0.0,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",101,30.69,37.62,39.6,46.53,9.9,11.88,12.87,14.85,15.33,18.72,19.94,24.65,4.85,3.22,2.44,1.86,0.1563,89.13,89.57,92.81,16.438,1.349,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Baseline,Dense_BGE_Large,dense_bge_large,-,Dense (bge-large-en-v1.5),"dim=1024, cosine, fp16",101,33.66,38.61,39.6,43.56,9.9,12.87,12.87,12.87,15.4,20.13,20.73,22.95,5.25,3.66,2.64,1.86,0.1774,223.31,224.35,230.93,107.88,3.785,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",101,32.67,42.57,44.55,52.48,11.88,14.85,16.83,20.79,18.25,24.0,27.03,33.68,5.64,4.46,3.43,2.71,0.1872,61.06,62.75,74.06,172.291,4.151,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Edge-RAG,v7,v7,1.0,Edge-RAG V7 Default (p=1.00),"p=1.00, tau_base=0.55, Delta_tau=0.0, mu=0.50, eta=0.0, eps=0.0",101,14.85,23.76,29.7,37.62,7.92,8.91,13.86,16.83,9.35,12.74,18.83,23.62,1.49,1.49,1.62,1.45,0.0433,137.5,175.41,405.9,18.359,0.446,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Edge-RAG,v7_calibrated,v7_calibrated_optimal,1.0,Edge-RAG V7 Calibrated (Frozen),"strategy=salience, N=2500, dtau=+0.10, beta=1.0, mu=0.50, eta=0.0, eps=0.005",500,45.4,55.6,60.6,66.2,16.2,23.2,25.6,29.4,28.69,37.45,41.43,46.87,6.28,4.07,3.05,2.13,0.2777,25.19,25.28,32.96,14.62,0.36,0.0,0.0,0.0,0.0
beir_nfcorpus_doc_level,Edge-RAG,v7_calibrated,v7_calibrated_optimal,1.0,Edge-RAG V7 Calibrated (Frozen),"strategy=salience, N=2500, dtau=+0.10, beta=1.0, mu=0.50, eta=0.0, eps=0.005",323,69.35,73.07,74.92,75.85,3.72,4.02,4.33,4.64,14.49,17.55,19.08,21.57,23.22,16.72,13.33,10.14,0.5197,16.41,16.46,21.97,14.62,0.36,0.0,0.0,0.0,0.0
beir_scifact_doc_level,Edge-RAG,v7_calibrated,v7_calibrated_optimal,1.0,Edge-RAG V7 Calibrated (Frozen),"strategy=salience, N=2500, dtau=+0.10, beta=1.0, mu=0.50, eta=0.0, eps=0.005",300,81.0,84.67,86.0,87.0,77.67,81.0,83.33,85.33,79.29,83.03,84.87,86.36,8.67,4.62,3.18,1.95,0.6252,23.72,24.05,31.09,14.62,0.36,0.0,0.0,0.0,0.0
bright_economics_doc_level,Edge-RAG,v7_calibrated,v7_calibrated_optimal,1.0,Edge-RAG V7 Calibrated (Frozen),"strategy=salience, N=2500, dtau=+0.10, beta=1.0, mu=0.50, eta=0.0, eps=0.005",103,24.27,31.07,37.86,46.6,9.71,11.65,11.65,14.56,12.58,17.59,20.39,25.45,5.44,4.66,4.05,3.15,0.1176,67.28,71.75,119.51,14.62,0.36,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Edge-RAG,v7_calibrated,v7_calibrated_optimal,1.0,Edge-RAG V7 Calibrated (Frozen),"strategy=salience, N=2500, dtau=+0.10, beta=1.0, mu=0.50, eta=0.0, eps=0.005",101,23.76,31.68,38.61,48.51,8.91,11.88,15.84,17.82,12.55,18.13,23.18,28.84,3.37,2.97,2.54,2.02,0.0968,79.22,99.37,216.67,14.62,0.36,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Edge-RAG,v7_calibrated,v7_calibrated_optimal,1.0,Edge-RAG V7 Calibrated (Frozen),"strategy=salience, N=2500, dtau=+0.10, beta=1.0, mu=0.50, eta=0.0, eps=0.005",117,39.32,43.59,47.01,51.28,10.26,13.68,14.53,20.51,21.39,27.11,30.66,36.93,7.52,5.09,4.05,3.01,0.197,82.6,86.81,141.34,14.62,0.36,0.0,0.0,0.0,0.0
