dataset,policy,capacity_type,requested_capacity,effective_capacity_terms,actual_pct_eligible_vocab,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
bright_aops,stratified,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,5048,14.998811504635132,0.10756035398624622,0.07033348090698074,0.6095238095238095,0.1505952380952381,80.62323060273027,0.02,0.02
bright_aops,coverage,fixed,1000,1000,2.9712384121701922,0.06499699484372508,0.02777012176445959,0.5345238095238095,0.07559523809523809,31.83287535338959,0.0,0.02
bright_aops,coverage,fixed,2500,2500,7.428096030425481,0.07630760476042668,0.03908073168116119,0.5461904761904762,0.08726190476190476,44.79822129976451,0.02,0.02
bright_aops,coverage,fixed,5000,5000,14.856192060850962,0.08844215536394927,0.051215282284683764,0.5620238095238096,0.1030952380952381,58.70805000370968,0.04,0.02
bright_aops,coverage,fixed,10000,10000,29.712384121701923,0.10846468097057987,0.07123780789131437,0.6153571428571428,0.15642857142857144,81.65986012906679,0.04,0.02
bright_aops,coverage,fixed,15000,15000,44.56857618255289,0.11651153918077624,0.07928466610151073,0.6153571428571428,0.15642857142857144,90.88396928365498,0.04,0.02
bright_aops,coverage,fixed,20000,20000,59.42476824340385,0.12250585423777631,0.0852789811585108,0.6178571428571429,0.15892857142857145,97.75524934705886,0.04,0.02
bright_aops,coverage,percentage,0.02,673,2.0,0.06499699484372508,0.02777012176445959,0.5345238095238095,0.07559523809523809,31.83287535338959,0.0,0.02
bright_aops,coverage,percentage,0.05,1682,5.0,0.07616809498121997,0.038941221901954474,0.5428571428571428,0.08392857142857142,44.6383013163473,0.02,0.02
bright_aops,coverage,percentage,0.1,3365,10.0,0.07863111886862727,0.041404245789361784,0.5495238095238095,0.0905952380952381,47.46166424810806,0.02,0.02
bright_aops,coverage,percentage,0.15,5048,15.0,0.08844215536394927,0.051215282284683764,0.5686904761904762,0.10976190476190477,58.70805000370968,0.04,0.02
bright_aops,coverage,percentage,0.2,6731,20.0,0.10345769424188626,0.06623082116262077,0.5828571428571429,0.12392857142857143,75.92035398708927,0.04,0.02
bright_aops,coverage,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,5048,14.998811504635132,0.08844215536394927,0.051215282284683764,0.5686904761904762,0.10976190476190477,58.70805000370968,0.04,0.02
nfcorpus,salience,fixed,1000,1000,8.466683600033868,0.5800749159540431,0.27024981065196996,0.6979863615308585,0.34211640424397394,63.059418519953624,0.84,0.54
nfcorpus,salience,fixed,2500,2500,21.166709000084666,0.6955168032315057,0.38569169792943236,0.7405689744324642,0.3846990171455794,89.99634131372265,0.84,0.56
nfcorpus,salience,fixed,5000,5000,42.33341800016933,0.713576604735476,0.4037514994334026,0.7667793047023537,0.41090934741546903,94.21037046948312,0.84,0.56
nfcorpus,salience,fixed,10000,10000,84.66683600033866,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,salience,fixed,15000,15000,127.00025400050801,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,salience,fixed,20000,20000,169.33367200067732,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,salience,percentage,0.02,236,2.0,0.4766268958077225,0.1668017905056492,0.6251288136187384,0.26925885633185387,38.92111484554961,0.84,0.46
nfcorpus,salience,percentage,0.05,590,5.0,0.5279607042628305,0.21813559896075724,0.6609112727626661,0.3050413154757818,50.8992180078957,0.84,0.52
nfcorpus,salience,percentage,0.1,1181,10.0,0.601586521901687,0.29176141659961385,0.7070587323142002,0.3511887750273157,68.07888313758373,0.84,0.56
nfcorpus,salience,percentage,0.15,1771,15.0,0.6187579545836044,0.3089328492815311,0.7286472969978335,0.3727773397109489,72.08562252239201,0.84,0.56
nfcorpus,salience,percentage,0.2,2362,20.0,0.6780439283014406,0.3682188229993671,0.7393915803979272,0.38352162311104254,85.91926414462617,0.84,0.56
nfcorpus,salience,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2500,21.166709000084666,0.6955168032315057,0.38569169792943236,0.7405689744324642,0.3846990171455794,89.99634131372265,0.84,0.56
nfcorpus,specificity,fixed,1000,1000,8.466683600033868,0.6689625553140088,0.35913745001193553,0.7071131696375906,0.3512432123507061,83.8002391633738,0.86,0.54
nfcorpus,specificity,fixed,2500,2500,21.166709000084666,0.7240037107508879,0.4141786054488146,0.7258395431620854,0.36996958587520085,96.6434054477187,0.86,0.56
nfcorpus,specificity,fixed,5000,5000,42.33341800016933,0.7304567293945281,0.42063162409245464,0.7664822749993832,0.4106123177124987,98.1491367649199,0.86,0.56
nfcorpus,specificity,fixed,10000,10000,84.66683600033866,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
