dataset,partition_type,partition_bin,instance_count,ranking_safe_instance_count,ranking_safe_pct_has_safe,ranking_safe_pct_no_safe,ranking_safe_unconditional_pct_w_0.05,ranking_safe_pct_w_0.05,ranking_safe_conditional_pct_w_0.05,ranking_safe_unconditional_pct_w_0.1,ranking_safe_pct_w_0.1,ranking_safe_conditional_pct_w_0.1,ranking_safe_unconditional_pct_w_0.3,ranking_safe_pct_w_0.3,ranking_safe_conditional_pct_w_0.3,ranking_safe_unconditional_pct_w_0.5,ranking_safe_pct_w_0.5,ranking_safe_conditional_pct_w_0.5,ranking_safe_unconditional_pct_w_1.0,ranking_safe_pct_w_1.0,ranking_safe_conditional_pct_w_1.0,recall_safe_instance_count,recall_safe_pct_has_safe,recall_safe_pct_no_safe,recall_safe_unconditional_pct_w_0.05,recall_safe_pct_w_0.05,recall_safe_conditional_pct_w_0.05,recall_safe_unconditional_pct_w_0.1,recall_safe_pct_w_0.1,recall_safe_conditional_pct_w_0.1,recall_safe_unconditional_pct_w_0.3,recall_safe_pct_w_0.3,recall_safe_conditional_pct_w_0.3,recall_safe_unconditional_pct_w_0.5,recall_safe_pct_w_0.5,recall_safe_conditional_pct_w_0.5,recall_safe_unconditional_pct_w_1.0,recall_safe_pct_w_1.0,recall_safe_conditional_pct_w_1.0
nfcorpus,df_band,DF=6-20,8982,3282,36.539746158984634,63.460253841015366,9.407704297483857,9.407704297483857,25.74649603900061,1.1467379202850145,1.1467379202850145,3.138330286410725,3.674014696058784,3.674014696058784,10.054844606946983,5.355154753952349,5.355154753952349,14.655697745277271,16.95613449120463,16.95613449120463,46.404631322364416,6910,76.93164105989757,23.068358940102428,58.86216878200846,58.86216878200846,76.5123010130246,0.723669561344912,0.723669561344912,0.9406657018813315,2.6608773101759073,2.6608773101759073,3.4587554269175107,2.738810955243821,2.738810955243821,3.560057887120116,11.946114451124473,11.946114451124473,15.528219971056439
nfcorpus,df_band,DF>20_rel>1%,21178,4443,20.979318160355085,79.02068183964491,3.291151194635943,3.291151194635943,15.68759846950259,0.9963169326659742,0.9963169326659742,4.749043439117713,3.985267730663897,3.985267730663897,18.996173756470853,3.796392482765134,3.796392482765134,18.09588116137745,8.910189819624138,8.910189819624138,42.471303173531396,15658,73.93521578997073,26.064784210029273,58.47105486825952,58.47105486825952,79.08417422403883,1.0152044574558503,1.0152044574558503,1.3731000127730235,4.103314760600623,4.103314760600623,5.549878656277941,3.361979412597979,3.361979412597979,4.547196321369268,6.983662291056756,6.983662291056756,9.445650785540938
nfcorpus,df_band,DF>20_rel_0.1-1%,5049,1259,24.93563081798376,75.06436918201625,5.228758169934641,5.228758169934641,20.96902303415409,1.1883541295306002,1.1883541295306002,4.765687053216839,3.6838978015448602,3.6838978015448602,14.773629864972202,4.753416518122401,4.753416518122401,19.062748212867355,10.081204198851259,10.081204198851259,40.42891183478952,3761,74.48999801940978,25.510001980590214,60.863537334125574,60.863537334125574,81.70699282105824,0.8120419885125768,0.8120419885125768,1.0901356022334485,3.4264210734798968,3.4264210734798968,4.599840467960649,2.7926322043969103,2.7926322043969103,3.7490029247540546,6.59536541889483,6.59536541889483,8.854028183993618
nfcorpus,idf_decile,D1,14073,2841,20.187593263696442,79.81240673630356,2.963120869750586,2.963120869750586,14.6779303062302,0.7816385987351666,0.7816385987351666,3.8718760999648008,3.965039437220209,3.965039437220209,19.640971488912353,3.659489803169189,3.659489803169189,18.127419922562478,8.818304554821289,8.818304554821289,43.681802182330166,10312,73.27506572870035,26.72493427129965,57.25147445462944,57.25147445462944,78.1322730799069,0.8669082640517303,0.8669082640517303,1.1830876648564779,4.121367156967242,4.121367156967242,5.624515128006206,3.659489803169189,3.659489803169189,4.994181536074476,7.375826049882754,7.375826049882754,10.065942591155935
nfcorpus,idf_decile,D10,862,633,73.4338747099768,26.5661252900232,8.236658932714617,8.236658932714617,11.216429699842022,1.2761020881670533,1.2761020881670533,1.7377567140600316,3.82830626450116,3.82830626450116,5.213270142180095,9.860788863109049,9.860788863109049,13.428120063191153,50.232018561484914,50.232018561484914,68.4044233807267,676,78.42227378190255,21.57772621809745,25.638051044083525,25.638051044083525,32.69230769230769,0.0,0.0,0.0,0.8120649651972157,0.8120649651972157,1.0355029585798818,6.380510440835267,6.380510440835267,8.136094674556213,45.59164733178655,45.59164733178655,58.13609467455622
nfcorpus,idf_decile,D2,7615,1720,22.58699934340118,77.41300065659883,4.005252790544977,4.005252790544977,17.732558139534884,1.4051214707813526,1.4051214707813526,6.22093023255814,4.070912672357189,4.070912672357189,18.023255813953487,4.110308601444517,4.110308601444517,18.197674418604652,8.995403808273144,8.995403808273144,39.825581395348834,5746,75.45633617859487,24.543663821405122,61.247537754432045,61.247537754432045,81.16950922380786,1.2606697307944845,1.2606697307944845,1.6707274625826662,4.084044648719632,4.084044648719632,5.412460842325096,2.7708470124753775,2.7708470124753775,3.6721197354681516,6.0932370321733424,6.0932370321733424,8.07518273581622
nfcorpus,idf_decile,D3,4909,1261,25.687512731717256,74.31248726828275,5.459360358525158,5.459360358525158,21.252973830293417,1.161132613566918,1.161132613566918,4.520222045995242,3.666734569158688,3.666734569158688,14.274385408406026,4.950091668364228,4.950091668364228,19.27042030134814,10.45019352210226,10.45019352210226,40.681998413957174,3658,74.51619474434712,25.483805255652882,60.35852515787329,60.35852515787329,81.0005467468562,0.8352006518639234,0.8352006518639234,1.1208310552214324,3.3815441026685678,3.3815441026685678,4.537998906506288,2.9130169077205132,2.9130169077205132,3.909240021869874,7.027907924220819,7.027907924220819,9.4313832695462
nfcorpus,idf_decile,D4,3362,1065,31.677572873289712,68.3224271267103,7.852468768590125,7.852468768590125,24.788732394366196,1.0410469958358122,1.0410469958358122,3.286384976525822,3.6585365853658534,3.6585365853658534,11.549295774647888,5.443188578227246,5.443188578227246,17.183098591549296,13.682331945270674,13.682331945270674,43.1924882629108,2621,77.95954788816181,22.040452111838192,61.00535395597858,61.00535395597858,78.25257535291873,0.9220701963117192,0.9220701963117192,1.1827546737886303,3.2123735871505055,3.2123735871505055,4.120564669973293,3.301606186793575,3.301606186793575,4.235024799694774,9.518143961927423,9.518143961927423,12.209080503624572
nfcorpus,idf_decile,D5,2715,1000,36.83241252302026,63.16758747697975,10.20257826887661,10.20257826887661,27.700000000000003,1.1049723756906076,1.1049723756906076,3.0,3.4622467771639043,3.4622467771639043,9.4,4.677716390423573,4.677716390423573,12.7,17.384898710865563,17.384898710865563,47.199999999999996,2061,75.91160220994475,24.08839779005525,58.85819521178637,58.85819521178637,77.53517709849588,0.6998158379373849,0.6998158379373849,0.9218825812712276,2.3204419889502765,2.3204419889502765,3.056768558951965,2.209944751381215,2.209944751381215,2.911208151382824,11.823204419889503,11.823204419889503,15.574963609898107
nfcorpus,idf_decile,D6,2535,1097,43.2741617357002,56.725838264299796,10.848126232741617,10.848126232741617,25.06836827711942,1.3806706114398422,1.3806706114398422,3.1905195989061075,3.7475345167652856,3.7475345167652856,8.659981768459435,5.680473372781065,5.680473372781065,13.126709206927986,21.617357001972387,21.617357001972387,49.95442114858706,1931,76.17357001972387,23.826429980276135,55.62130177514793,55.62130177514793,73.01916105644743,0.4733727810650888,0.4733727810650888,0.6214396685655101,2.0907297830374754,2.0907297830374754,2.7446918694976694,2.3274161735700196,2.3274161735700196,3.055411703780425,15.660749506903354,15.660749506903354,20.55929570170896
