stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage3,sparsity_eps_0.010,liverag_doc_level,Edge-RAG,v7,Mass Floor eps=0.010,mass_floor=0.01,895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9298,20.62,20.67,25.3,0.0,0.0,11.31,0.12,0.0
stage3,sparsity_eps_0.020,liverag_doc_level,Edge-RAG,v7,Mass Floor eps=0.020,mass_floor=0.02,895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9298,20.58,20.68,25.24,0.0,0.0,11.31,0.0,0.0
stage3,sparsity_eps_0.050,liverag_doc_level,Edge-RAG,v7,Mass Floor eps=0.050,mass_floor=0.05,895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9298,20.7,20.72,25.24,0.0,0.0,11.31,0.0,0.0
stage3,alloc_normalized_cosine,liverag_doc_level,Edge-RAG,v7,Allocation: normalized_cosine,allocation=normalized_cosine,895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9303,34.43,34.48,44.51,0.0,0.0,11.31,5184.41,0.0
stage3,alloc_softmax_1.0,liverag_doc_level,Edge-RAG,v7,Allocation: softmax_1.0,allocation=softmax_1.0,895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9303,34.58,34.7,44.79,0.0,0.0,11.31,5184.41,0.0
stage3,alloc_softmax_0.1,liverag_doc_level,Edge-RAG,v7,Allocation: softmax_0.1,allocation=softmax_0.1,895,97.88,98.44,98.66,98.88,96.98,98.1,98.32,98.66,97.43,98.27,98.49,98.77,11.22,5.66,3.79,2.28,0.9303,34.58,34.68,44.87,0.0,0.0,11.31,5184.41,0.0
stage3,alloc_uniform,liverag_doc_level,Edge-RAG,v7,Allocation: uniform,allocation=uniform,895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9303,33.76,34.26,43.38,0.0,0.0,11.31,5184.41,0.0
stage3,budget_eta_-0.5__mu_0.50,beir_scifact_doc_level,Edge-RAG,v7,Budget eta=-0.5 (mu=0.50),"eta=-0.5, mu_ceil=0.50",300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,39.31,39.58,51.64,0.0,0.0,9.13,6457.25,0.0
stage3,budget_eta_+0.0__mu_0.50,beir_scifact_doc_level,Edge-RAG,v7,Budget eta=+0.0 (mu=0.50),"eta=0.0, mu_ceil=0.50",300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,39.21,39.53,52.65,0.0,0.0,9.13,6457.25,0.0
stage3,budget_eta_+0.5__mu_0.50,beir_scifact_doc_level,Edge-RAG,v7,Budget eta=+0.5 (mu=0.50),"eta=0.5, mu_ceil=0.50",300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,38.74,39.18,52.63,0.0,0.0,9.13,6457.25,0.0
