dataset,category,model_family,config_label,p,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,ndcg_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_qaug_len,avg_anchors,avg_synonyms,avg_r_anchor
bright_economics_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",103,27.18,33.01,40.78,45.63,9.71,11.65,13.59,14.56,14.09,18.29,23.07,25.51,6.12,4.9,4.34,3.28,0.1325,0.1209,15.02,16.35,23.49,9.689,0.389,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Baseline,BM25_Blank,bm25_blank,-,BM25 (Blank Baseline),"k1=1.2, b=0.75, whitespace",117,23.08,27.35,32.48,37.61,5.13,6.84,8.55,11.97,11.46,14.71,17.62,21.59,4.1,2.69,2.11,1.59,0.1178,0.0963,3.56,3.72,5.13,8.765,0.0,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,BM25 (Analyzed Baseline),"k1=1.2, b=0.75, kstem+wordnet",117,29.06,34.19,41.88,48.72,8.55,11.97,12.82,17.95,16.02,21.12,25.75,31.62,5.47,3.8,3.5,2.51,0.1827,0.1414,2.33,2.43,3.58,18.362,0.0,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",117,26.5,37.61,42.74,47.86,5.98,16.24,19.66,22.22,12.63,23.25,28.4,32.83,4.1,3.68,3.05,2.32,0.1023,0.0868,132.08,133.04,138.29,71.456,1.285,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",117,33.33,42.74,47.01,50.43,8.55,11.11,13.68,16.24,17.0,23.21,27.82,31.37,5.3,3.97,3.39,2.58,0.1351,0.114,123.43,124.04,135.19,596.125,4.564,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",117,38.46,44.44,46.15,52.14,11.11,13.68,15.38,20.51,21.82,27.71,31.12,37.23,7.78,5.13,4.19,2.99,0.2057,0.1688,21.75,23.13,37.77,27.185,0.389,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Baseline,BM25_Blank,bm25_blank,-,BM25 (Blank Baseline),"k1=1.2, b=0.75, whitespace",101,9.9,13.86,14.85,16.83,2.97,4.95,4.95,5.94,4.31,7.21,7.6,8.97,1.29,1.19,0.86,0.65,0.0356,0.0295,1.55,1.82,2.92,1.673,0.0,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,BM25 (Analyzed Baseline),"k1=1.2, b=0.75, kstem+wordnet",101,17.82,22.77,27.72,36.63,5.94,7.92,8.91,11.88,8.07,12.16,15.03,20.81,1.98,1.93,1.72,1.58,0.0719,0.0537,1.16,1.45,3.3,2.855,0.0,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",101,30.69,37.62,39.6,46.53,9.9,11.88,12.87,14.85,15.33,18.72,19.94,24.65,4.85,3.22,2.44,1.86,0.1563,0.1213,81.17,81.79,85.24,14.875,1.285,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",101,32.67,42.57,44.55,52.48,11.88,14.85,16.83,20.79,18.25,24.0,27.03,33.68,5.64,4.46,3.43,2.71,0.1872,0.1518,53.16,54.99,64.63,150.412,4.087,0.0,0.0,0.0,0.0
bright_robotics_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",101,25.74,34.65,44.55,47.52,9.9,13.86,15.84,16.83,14.36,20.23,24.57,27.92,3.86,3.27,2.81,2.18,0.1033,0.0919,19.29,25.35,61.49,8.786,0.389,0.0,0.0,0.0,0.0
