dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
scifact,BM25_Default,0.6839,0.6839,0.7062,0.6376,0.6441,0.0917,0.0105,0.8433,0.8263,0.9036,0.926,0.95,0.97,0.9767,0.92,0.97,0.9767,0.93,0.9767,0.9767,21.88,24.01,28.39,21.54,44.1,62.48,5183,300,25.53,980.95,0.0,0.1,0.7024,0.91
scifact,BM25_RM3_Terrier_Default,0.6731,0.6731,0.6979,0.6313,0.6333,0.0897,0.0104,0.8167,0.8057,0.894,0.922,0.9443,0.9633,0.985,0.92,0.96,0.9833,0.9233,0.9867,0.9854,30.27,32.34,33.84,30.61,39.47,77.21,5183,300,25.53,995.97,0.0,0.1,0.6932,0.8967
scifact,BM25_Bo1_Terrier_Default,0.6351,0.6351,0.6571,0.571,0.5778,0.092,0.0105,0.8533,0.8355,0.9147,0.9293,0.9533,0.965,0.98,0.9233,0.9633,0.98,0.9333,0.98,0.98,29.1,31.46,33.29,29.42,43.15,72.75,5183,300,25.53,1014.09,0.0,0.1,0.6545,0.92
scifact,DPH,0.6716,0.6716,0.6968,0.6299,0.6349,0.0883,0.0104,0.82,0.804,0.8846,0.9159,0.9383,0.9667,0.9733,0.9067,0.9667,0.9733,0.92,0.9733,0.9733,21.79,23.97,26.35,21.39,51.21,59.01,5183,300,25.53,1028.41,0.0,0.1,0.6913,0.8933
nfcorpus,BM25_Default,0.3282,0.3295,0.2765,0.1463,0.5321,0.2393,0.0661,0.6997,0.1532,0.2182,0.2483,0.2809,0.3305,0.365,0.0557,0.065,0.0743,0.7895,0.8235,0.647,6.51,22.27,24.69,9.85,90.15,28.25,3633,323,18.6,827.59,0.0,0.09,0.2786,0.7616
nfcorpus,BM25_RM3_Terrier_Default,0.3504,0.3517,0.3154,0.1684,0.5359,0.2591,0.0792,0.7059,0.1743,0.2646,0.3114,0.378,0.4672,0.55,0.0774,0.1115,0.1269,0.8173,0.904,0.8052,29.71,32.16,34.28,27.26,45.44,67.0,3633,323,18.6,1016.62,0.0,0.09,0.3102,0.7833
nfcorpus,BM25_Bo1_Terrier_Default,0.3377,0.3385,0.3083,0.1638,0.5122,0.2548,0.0798,0.6842,0.1651,0.2648,0.3095,0.3689,0.4617,0.5514,0.0867,0.1269,0.1455,0.8111,0.9009,0.7996,28.79,31.18,32.29,25.61,52.13,61.42,3633,323,18.6,1054.41,0.0,0.09,0.3044,0.7864
nfcorpus,DPH,0.3221,0.3238,0.2729,0.1435,0.5254,0.2325,0.0646,0.6904,0.15,0.2164,0.2449,0.2785,0.3323,0.3671,0.0557,0.0681,0.0743,0.7926,0.8266,0.6503,6.55,22.27,24.67,9.81,126.73,24.85,3633,323,18.6,1030.44,0.0,0.09,0.2754,0.7616
fiqa,BM25_Default,0.2526,0.2526,0.3175,0.2087,0.3104,0.0704,0.0133,0.4907,0.3097,0.4855,0.5592,0.6269,0.7114,0.7742,0.3735,0.5309,0.6049,0.7438,0.9043,0.8085,24.15,26.24,28.08,24.4,41.2,66.79,57638,648,83.96,1008.04,0.0,0.1,0.3016,0.6898
fiqa,BM25_RM3_Terrier_Default,0.2432,0.2432,0.3055,0.2031,0.2924,0.0665,0.013,0.463,0.2986,0.4606,0.5377,0.6191,0.7131,0.7803,0.3673,0.5525,0.6219,0.7114,0.9043,0.8127,33.69,36.41,39.61,33.98,35.83,80.94,57638,648,83.96,1041.79,0.0,0.1,0.2888,0.6481
fiqa,BM25_Bo1_Terrier_Default,0.2343,0.2343,0.3012,0.188,0.276,0.0698,0.0134,0.4815,0.3089,0.4891,0.5674,0.6509,0.7295,0.7952,0.3935,0.5571,0.6358,0.75,0.912,0.8262,32.9,35.57,38.19,33.23,38.15,78.29,57638,648,83.96,1050.66,0.0,0.1,0.2846,0.6836
fiqa,DPH,0.2433,0.2433,0.305,0.1985,0.3039,0.067,0.0128,0.4799,0.3016,0.4684,0.5393,0.6153,0.6961,0.7562,0.3596,0.5123,0.5787,0.7346,0.8951,0.7923,24.18,26.46,28.7,24.51,44.74,64.74,57638,648,83.96,1048.36,0.0,0.1,0.2899,0.6744
arguana,BM25_Default,0.3662,0.3662,0.4136,0.2519,0.2408,0.0763,0.0097,0.7632,0.7632,0.9516,0.9701,0.9815,0.99,0.9922,0.9701,0.99,0.9922,0.9701,0.9922,0.9922,27.67,30.45,33.67,27.95,37.19,64.71,8674,1406,25.6,1375.22,0.0,0.01,0.4106,0.9516
arguana,BM25_RM3_Terrier_Default,0.3632,0.3632,0.413,0.252,0.2402,0.0752,0.0097,0.7525,0.7525,0.9474,0.968,0.9829,0.99,0.9936,0.968,0.99,0.9936,0.968,0.9936,0.9936,40.91,48.09,57.33,41.81,28.58,83.32,8674,1406,25.6,1570.38,0.0,0.01,0.4096,0.9474
arguana,BM25_Bo1_Terrier_Default,0.3441,0.3441,0.3958,0.2284,0.216,0.0759,0.0098,0.7589,0.7589,0.963,0.9808,0.9879,0.9929,0.9943,0.9808,0.9929,0.9943,0.9808,0.9943,0.9943,43.01,51.68,63.85,44.16,26.61,87.88,8674,1406,25.6,1869.79,0.0,0.01,0.3929,0.963
arguana,DPH,0.3266,0.3266,0.3831,0.2229,0.2101,0.0699,0.0095,0.6991,0.6991,0.9203,0.9509,0.973,0.9851,0.99,0.9509,0.9851,0.99,0.9509,0.99,0.99,28.06,31.53,35.86,28.48,37.74,64.59,8674,1406,25.6,1861.12,0.0,0.01,0.3782,0.9203
scidocs,BM25_Default,0.1582,0.1582,0.2247,0.1079,0.277,0.0813,0.0178,0.498,0.1647,0.2929,0.362,0.4285,0.5106,0.5713,0.055,0.125,0.158,0.782,0.936,0.663,23.02,25.08,25.99,23.3,43.78,63.95,25657,1000,69.01,1847.34,0.0,0.03,0.2058,0.701
scidocs,BM25_RM3_Terrier_Default,0.1572,0.1572,0.2275,0.1118,0.2699,0.0801,0.0181,0.463,0.1627,0.3069,0.3675,0.433,0.518,0.5884,0.063,0.134,0.188,0.76,0.935,0.6765,32.11,34.5,35.95,32.42,38.82,76.93,25657,1000,69.01,1862.29,0.0,0.03,0.2108,0.692
scidocs,BM25_Bo1_Terrier_Default,0.1619,0.1619,0.2329,0.1125,0.2745,0.085,0.0188,0.509,0.1721,0.31,0.3823,0.4482,0.5357,0.6006,0.065,0.138,0.195,0.792,0.945,0.6878,31.17,33.46,35.58,31.48,40.82,74.79,25657,1000,69.01,1865.63,0.0,0.03,0.2131,0.703
scidocs,DPH,0.1499,0.1499,0.214,0.1011,0.2624,0.078,0.0171,0.488,0.1581,0.282,0.3475,0.4115,0.4974,0.5649,0.044,0.115,0.155,0.772,0.936,0.6579,23.08,25.21,26.64,23.34,46.7,62.61,25657,1000,69.01,1865.78,0.0,0.03,0.196,0.686
quora,BM25_Default,0.7676,0.7676,0.7928,0.727,0.7584,0.117,0.0143,0.9109,0.8684,0.9492,0.966,0.9784,0.9878,0.9926,0.9424,0.9749,0.9833,0.9821,0.9973,0.9942,13.36,15.53,17.32,13.33,87.56,29.06,522931,10000,212.62,1456.81,0.0,0.1,0.7892,0.9722
quora,BM25_RM3_Terrier_Default,0.7508,0.7508,0.7784,0.7129,0.7373,0.1151,0.0142,0.8877,0.8489,0.9365,0.9594,0.9722,0.9842,0.9904,0.9376,0.9723,0.9824,0.9743,0.9949,0.9918,21.62,25.62,28.63,22.14,65.26,34.74,522931,10000,212.62,1546.51,0.0,0.1,0.7739,0.9575
quora,BM25_Bo1_Terrier_Default,0.7345,0.7345,0.7631,0.6904,0.7182,0.115,0.0143,0.8919,0.8503,0.9411,0.963,0.9755,0.9868,0.9922,0.9398,0.9743,0.9841,0.978,0.9967,0.9937,22.15,25.97,28.99,22.51,64.12,35.02,522931,10000,212.62,1561.54,0.0,0.1,0.7586,0.9641
quora,DPH,0.4429,0.4429,0.4913,0.4014,0.419,0.0745,0.0113,0.6181,0.5716,0.7272,0.7805,0.8232,0.8696,0.9026,0.7418,0.8397,0.8777,0.8162,0.9218,0.9079,14.18,16.72,18.31,14.17,82.02,29.87,522931,10000,212.62,1531.55,0.0,0.1,0.4813,0.7677
hotpotqa,BM25_Default,0.5858,0.5858,0.6252,0.5022,0.7505,0.1232,0.0154,0.886,0.6161,0.7325,0.7701,0.8037,0.8413,0.8689,0.5739,0.6964,0.7458,0.9662,0.992,0.8968,47.62,87.31,125.99,53.07,17.24,82.42,5233329,7405,4178.75,1816.18,0.0,0.5,0.6177,0.95
hotpotqa,BM25_RM3_Terrier_Default,0.5286,0.5286,0.5686,0.4474,0.7165,0.1071,0.0139,0.8305,0.5354,0.6475,0.6945,0.7354,0.7874,0.8248,0.4586,0.6032,0.6678,0.9305,0.9819,0.8604,119.11,198.65,272.77,129.09,8.03,160.03,5233329,7405,4178.75,1759.12,0.0,0.5,0.5593,0.9097
hotpotqa,BM25_Bo1_Terrier_Default,0.531,0.531,0.5743,0.4477,0.6833,0.1143,0.0148,0.8477,0.5716,0.6968,0.7413,0.7795,0.8282,0.8599,0.5291,0.6718,0.7291,0.9534,0.9907,0.8895,102.93,185.16,289.37,113.53,9.32,140.55,5233329,7405,4178.75,1758.39,0.0,0.5,0.5654,0.9323
hotpotqa,DPH,0.6169,0.6169,0.6539,0.5322,0.7843,0.1294,0.0158,0.9111,0.6472,0.7556,0.7913,0.8209,0.8573,0.8824,0.6093,0.7249,0.771,0.9733,0.9938,0.9076,51.8,97.03,143.42,57.87,17.66,81.53,5233329,7405,4178.75,1729.97,0.0,0.5,0.6468,0.9606
trec_covid,BM25_Default,0.6295,0.6073,0.483,0.085,0.8725,0.664,0.5208,1.0,0.0171,0.0713,0.1237,0.1997,0.3426,0.4593,0.0,0.0,0.0,1.0,1.0,0.9987,20.48,23.42,30.06,20.85,39.6,76.06,171332,50,287.0,1726.51,0.0,0.14,0.5341,1.0
trec_covid,BM25_RM3_Terrier_Default,0.6511,0.6255,0.4849,0.0858,0.8467,0.706,0.52,0.96,0.0179,0.071,0.1219,0.2018,0.3521,0.467,0.0,0.0,0.0,1.0,1.0,0.9916,37.21,42.48,55.41,37.51,18.13,132.76,171332,50,287.0,1694.04,0.0,0.14,0.5455,1.0
trec_covid,BM25_Bo1_Terrier_Default,0.6348,0.613,0.5004,0.0904,0.8107,0.688,0.543,0.96,0.0173,0.073,0.1273,0.2106,0.3644,0.4789,0.0,0.0,0.0,1.0,1.0,0.9973,56.0,89.8,104.92,58.71,31.52,135.77,171332,50,287.0,2719.59,0.0,0.14,0.5497,1.0
trec_covid,DPH,0.631,0.6087,0.4684,0.0774,0.8472,0.672,0.4998,0.98,0.0169,0.0684,0.1136,0.1845,0.3068,0.4102,0.0,0.0,0.0,1.0,1.0,1.0,21.94,24.03,31.86,21.73,50.09,73.3,171332,50,287.0,2728.74,0.0,0.14,0.5334,1.0
webis_touche2020,BM25_Default,0.2979,0.2938,0.4278,0.1931,0.5713,0.2776,0.0892,0.9184,0.1825,0.4437,0.5373,0.6632,0.792,0.8781,0.0612,0.1837,0.3673,1.0,1.0,0.995,16.97,20.78,25.0,17.6,39.17,71.7,382545,49,685.06,2087.85,0.0,0.47,0.3889,0.9796
webis_touche2020,BM25_RM3_Terrier_Default,0.3388,0.3358,0.456,0.2142,0.5966,0.3102,0.0931,0.9184,0.2098,0.458,0.5582,0.6823,0.8027,0.8909,0.0816,0.2449,0.4082,1.0,1.0,0.9963,43.59,61.34,97.14,46.93,15.98,148.1,382545,49,685.06,2917.49,0.0,0.47,0.4138,1.0
webis_touche2020,BM25_Bo1_Terrier_Default,0.3551,0.3509,0.4594,0.2231,0.6361,0.3265,0.092,0.9184,0.2141,0.4537,0.5497,0.6727,0.7989,0.8832,0.0612,0.2449,0.3673,1.0,1.0,0.995,29.22,37.42,47.81,30.62,27.8,103.09,382545,49,685.06,3077.25,0.0,0.47,0.4193,0.9796
webis_touche2020,DPH,0.4174,0.4135,0.4987,0.2535,0.7204,0.3735,0.0939,0.9592,0.2438,0.467,0.5496,0.6724,0.7779,0.8543,0.0204,0.2041,0.2857,1.0,1.0,0.9936,17.81,22.96,27.21,18.44,60.79,63.53,382545,49,685.06,3090.43,0.0,0.47,0.4627,1.0
dbpedia_entity,BM25_Default,0.3087,0.2879,0.3659,0.2137,0.5777,0.2735,0.0943,0.8,0.1949,0.385,0.4589,0.5379,0.6215,0.6695,0.0875,0.1775,0.2075,0.9375,0.975,0.8417,41.38,80.25,181.34,48.49,8.8,181.45,4635922,400,4041.0,3640.64,0.0,0.51,0.3399,0.9225
dbpedia_entity,BM25_RM3_Terrier_Default,0.302,0.2808,0.3596,0.2144,0.5653,0.2703,0.0925,0.77,0.1923,0.3807,0.4577,0.531,0.619,0.6731,0.1,0.185,0.225,0.925,0.975,0.8397,69.76,112.9,156.22,75.82,11.11,188.03,4635922,400,4041.0,3652.91,0.0,0.51,0.3324,0.9
dbpedia_entity,BM25_Bo1_Terrier_Default,0.3058,0.2843,0.3648,0.2126,0.5788,0.2753,0.0949,0.795,0.1937,0.3857,0.468,0.5423,0.6314,0.6834,0.0975,0.185,0.225,0.9475,0.975,0.8435,59.71,106.26,139.92,66.46,15.9,150.72,4635922,400,4041.0,3656.23,0.0,0.51,0.3371,0.91
dbpedia_entity,DPH,0.31,0.2908,0.3642,0.2094,0.5747,0.2783,0.094,0.8175,0.1941,0.3776,0.4607,0.5338,0.6108,0.6663,0.1,0.175,0.2025,0.9425,0.9775,0.8435,25.36,47.47,71.24,29.43,32.6,78.97,4635922,400,4041.0,3641.86,0.0,0.51,0.3363,0.9075
nq,BM25_Default,0.2814,0.2814,0.3473,0.2383,0.2434,0.0516,0.0088,0.4754,0.4405,0.668,0.7387,0.7926,0.8532,0.8906,0.7112,0.836,0.8769,0.7665,0.9035,0.8936,27.5,40.75,55.27,28.76,28.71,60.32,2681468,3452,2304.87,3220.58,0.0,0.31,0.3353,0.6958
nq,BM25_RM3_Terrier_Default,0.2818,0.2818,0.3502,0.2387,0.2401,0.0522,0.0091,0.4751,0.4451,0.6842,0.7522,0.813,0.8713,0.9048,0.7297,0.8581,0.894,0.7749,0.9157,0.9073,63.6,92.57,122.47,66.13,16.06,99.45,2681468,3452,2304.87,3260.18,0.0,0.31,0.3385,0.7103
nq,BM25_Bo1_Terrier_Default,0.2869,0.2869,0.3546,0.2431,0.2476,0.0529,0.0091,0.4844,0.4499,0.6827,0.7543,0.8114,0.8745,0.909,0.7306,0.8612,0.8986,0.779,0.9186,0.9112,54.98,83.55,114.1,57.2,19.66,85.18,2681468,3452,2304.87,3268.09,0.0,0.31,0.3422,0.71
nq,DPH,0.2846,0.2846,0.3484,0.2404,0.2436,0.0523,0.0088,0.4797,0.4469,0.6683,0.7328,0.7883,0.8524,0.8926,0.7065,0.8352,0.8772,0.7596,0.907,0.8959,29.44,44.86,62.05,31.15,34.27,55.23,2681468,3452,2304.87,3232.23,0.0,0.31,0.3372,0.6996
climate_fever,BM25_Default,0.1386,0.1386,0.1949,0.104,0.1887,0.0442,0.0103,0.3681,0.176,0.312,0.3796,0.4464,0.5305,0.595,0.1466,0.2417,0.3205,0.6638,0.8502,0.6568,53.72,102.37,163.63,60.4,10.13,156.66,5416593,1535,5555.75,3238.53,0.0,0.66,0.1796,0.5811
climate_fever,BM25_RM3_Terrier_Default,0.1408,0.1408,0.1959,0.1047,0.1848,0.0468,0.0105,0.3805,0.1843,0.3203,0.3835,0.4399,0.5152,0.5789,0.157,0.2612,0.3218,0.6508,0.8085,0.635,121.6,221.18,335.11,134.51,7.37,244.03,5416593,1535,5555.75,3253.86,0.0,0.66,0.1817,0.5739
climate_fever,BM25_Bo1_Terrier_Default,0.1529,0.1529,0.2148,0.1141,0.2053,0.0501,0.0116,0.4059,0.1969,0.3458,0.4201,0.4831,0.5711,0.6344,0.1681,0.301,0.37,0.7068,0.8651,0.6913,106.19,220.05,360.89,123.05,8.59,217.08,5416593,1535,5555.75,3264.81,0.0,0.66,0.1979,0.6195
climate_fever,DPH,0.1719,0.1719,0.2342,0.1268,0.2288,0.0573,0.0124,0.458,0.2243,0.3735,0.4447,0.5045,0.5916,0.6513,0.1772,0.3023,0.3726,0.7518,0.8932,0.7111,55.86,110.77,179.75,63.56,15.98,122.49,5416593,1535,5555.75,3245.43,0.0,0.66,0.2181,0.6704
fever,BM25_Default,0.5077,0.5077,0.5482,0.4539,0.4682,0.0743,0.0096,0.7156,0.6797,0.8198,0.8606,0.8893,0.9236,0.9409,0.8272,0.893,0.913,0.8965,0.9695,0.9475,36.64,66.62,102.31,40.81,19.92,73.34,5416568,6666,5555.71,3273.87,0.0,0.61,0.5411,0.8573
fever,BM25_RM3_Terrier_Default,0.4747,0.4747,0.5158,0.4202,0.4331,0.0713,0.0094,0.688,0.6513,0.7915,0.8367,0.8723,0.9098,0.9304,0.8036,0.8794,0.9029,0.8719,0.9575,0.9367,105.02,168.72,236.52,112.51,9.06,145.09,5416568,6666,5555.71,3812.55,0.0,0.61,0.508,0.8282
fever,BM25_Bo1_Terrier_Default,0.4863,0.4863,0.5265,0.4288,0.4428,0.0733,0.0095,0.7048,0.6697,0.8077,0.8508,0.8824,0.9182,0.94,0.8174,0.8879,0.9125,0.8854,0.9673,0.9463,89.57,149.1,229.52,95.01,11.17,121.43,5416568,6666,5555.71,3817.24,0.0,0.61,0.5191,0.8437
fever,DPH,0.6808,0.6808,0.7036,0.6303,0.6567,0.0903,0.0104,0.8602,0.8201,0.8995,0.9182,0.9333,0.9476,0.9572,0.8858,0.92,0.932,0.9517,0.9817,0.963,37.68,71.76,111.58,42.84,23.45,66.15,5416568,6666,5555.71,3791.26,0.0,0.61,0.7002,0.9358
bright_biology,BM25_Default,0.0912,0.0912,0.1524,0.0683,0.1294,0.0379,0.0116,0.2718,0.1227,0.2533,0.3389,0.4296,0.5567,0.685,0.1359,0.2718,0.4369,0.5631,0.8544,0.7294,29.63,33.29,38.51,30.1,31.14,85.38,57359,103,75.34,3796.49,0.0,0.03,0.1326,0.466
bright_biology,BM25_RM3_Terrier_Default,0.0844,0.0844,0.1347,0.0635,0.1203,0.0369,0.0101,0.233,0.1026,0.2103,0.2921,0.393,0.5307,0.6454,0.1262,0.2913,0.4466,0.4563,0.8252,0.6898,42.94,49.76,58.16,43.81,25.14,113.2,57359,103,75.34,3795.52,0.0,0.03,0.1152,0.3495
bright_biology,BM25_Bo1_Terrier_Default,0.1025,0.1025,0.1658,0.0815,0.1354,0.0427,0.0125,0.2621,0.1321,0.2463,0.3601,0.4505,0.5984,0.7086,0.1553,0.3204,0.5146,0.5728,0.8544,0.7453,41.41,49.39,63.51,42.55,27.38,107.84,57359,103,75.34,3793.62,0.0,0.03,0.1395,0.4078
bright_biology,DPH,0.2523,0.2523,0.3305,0.2145,0.3531,0.0835,0.0181,0.4757,0.258,0.4458,0.5172,0.6197,0.7129,0.7758,0.2524,0.4757,0.5728,0.767,0.9029,0.8093,27.85,31.68,34.88,28.27,39.61,76.66,57359,103,75.34,3775.67,0.0,0.03,0.3132,0.6796
bright_earth_science,BM25_Default,0.1201,0.1201,0.1962,0.097,0.1583,0.056,0.0172,0.319,0.1524,0.3215,0.405,0.5051,0.6006,0.6823,0.2241,0.3793,0.4741,0.6466,0.8793,0.7485,29.74,33.57,37.34,30.62,25.83,93.91,121249,116,174.82,3783.02,0.0,0.05,0.1749,0.569
bright_earth_science,BM25_RM3_Terrier_Default,0.0928,0.0928,0.1647,0.0875,0.1126,0.0414,0.0145,0.2155,0.1108,0.2986,0.3572,0.4263,0.5264,0.6022,0.2328,0.3621,0.4052,0.5345,0.8017,0.6664,43.49,51.92,58.71,44.61,22.45,115.85,121249,116,174.82,3783.83,0.0,0.05,0.1495,0.4828
bright_earth_science,BM25_Bo1_Terrier_Default,0.1648,0.1648,0.2318,0.1425,0.2255,0.0698,0.0176,0.3276,0.1769,0.3561,0.407,0.4997,0.6265,0.7073,0.25,0.4138,0.5172,0.6207,0.8879,0.767,45.08,56.76,64.25,46.88,25.33,114.67,121249,116,174.82,3781.89,0.0,0.05,0.2174,0.5776
bright_earth_science,DPH,0.3539,0.3539,0.4227,0.2865,0.4804,0.1405,0.0259,0.6724,0.3919,0.5624,0.6187,0.677,0.7309,0.7812,0.3966,0.5172,0.5776,0.8707,0.931,0.8341,29.47,33.64,36.88,30.24,34.88,82.89,121249,116,174.82,3778.87,0.0,0.05,0.4076,0.8362
bright_economics,BM25_Default,0.1177,0.1177,0.18,0.09,0.1355,0.0563,0.0252,0.2621,0.133,0.2927,0.3885,0.4867,0.5992,0.6961,0.2136,0.3689,0.466,0.6019,0.8447,0.7624,30.87,34.8,36.59,31.46,24.61,97.54,50220,103,168.75,3780.29,0.0,0.02,0.1556,0.5049
bright_economics,BM25_RM3_Terrier_Default,0.0871,0.0871,0.1623,0.0791,0.0999,0.0427,0.0233,0.1553,0.0806,0.2479,0.3964,0.4395,0.5586,0.6466,0.2621,0.3689,0.4563,0.5825,0.8155,0.7117,45.7,53.8,61.94,47.06,23.38,118.7,50220,103,168.75,3783.03,0.0,0.02,0.1315,0.3981
