dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
nfcorpus,DPH_RM3_Terrier_Default,0.3452,0.3467,0.3165,0.1662,0.5334,0.2536,0.0803,0.6966,0.1679,0.2657,0.317,0.3798,0.4782,0.5641,0.0867,0.1269,0.1424,0.8266,0.9102,0.8147,26.81,29.03,30.26,24.49,52.46,59.34,3633,323,18.6,906.97,0.0,0.09,0.3085,0.7957
fiqa,DPH_Bo1_Terrier_Default,0.2211,0.2211,0.2879,0.1768,0.2667,0.0648,0.0131,0.4676,0.2919,0.4666,0.551,0.6354,0.7216,0.7745,0.3719,0.5448,0.6049,0.7438,0.8997,0.8076,30.6,33.06,36.24,30.86,36.85,75.26,57638,648,83.96,885.19,0.0,0.14,0.2703,0.6651
fiqa,DPH_RM3_Terrier_Default,0.2356,0.2356,0.297,0.1942,0.2928,0.065,0.0127,0.4522,0.2889,0.4489,0.5276,0.6102,0.7127,0.7797,0.358,0.5417,0.608,0.7068,0.9012,0.8125,31.53,33.83,36.33,31.7,38.98,74.56,57638,648,83.96,916.26,0.0,0.14,0.2804,0.6312
arguana,DPH_Bo1_Terrier_Default,0.296,0.296,0.3644,0.1966,0.1803,0.0674,0.0097,0.6743,0.6743,0.9424,0.9701,0.9829,0.9893,0.9922,0.9701,0.9893,0.9922,0.9701,0.9922,0.9922,39.88,47.94,56.6,40.79,27.96,82.44,8674,1406,25.6,1556.06,0.0,0.1,0.3599,0.9424
arguana,DPH_RM3_Terrier_Default,0.3285,0.3285,0.3885,0.2267,0.2127,0.0698,0.0096,0.6984,0.6984,0.9331,0.9616,0.9772,0.9893,0.9936,0.9616,0.9893,0.9936,0.9616,0.9936,0.9936,38.27,44.97,54.71,39.03,30.59,77.45,8674,1406,25.6,1567.8,0.0,0.1,0.3838,0.9331
scidocs,DPH_Bo1_Terrier_Default,0.1522,0.1522,0.2222,0.1049,0.255,0.0809,0.0183,0.494,0.1641,0.3027,0.372,0.4383,0.5255,0.5949,0.057,0.136,0.181,0.784,0.943,0.6836,28.94,31.04,32.83,29.18,39.47,71.68,25657,1000,69.01,995.02,0.0,0.13,0.2033,0.699
scidocs,DPH_RM3_Terrier_Default,0.1499,0.1499,0.2204,0.1059,0.2602,0.0767,0.0178,0.463,0.1556,0.2976,0.3615,0.4257,0.5175,0.585,0.054,0.136,0.183,0.754,0.938,0.6736,29.82,31.97,33.96,30.05,41.85,71.39,25657,1000,69.01,1019.46,0.0,0.13,0.203,0.683
quora,DPH_Bo1_Terrier_Default,0.3585,0.3585,0.4176,0.3159,0.3263,0.0666,0.0111,0.5475,0.5059,0.6949,0.7635,0.8176,0.87,0.9029,0.7269,0.8418,0.8797,0.7979,0.9208,0.9078,21.81,25.35,27.45,22.0,63.33,34.01,522931,10000,212.62,816.73,0.0,0.24,0.405,0.7339
quora,DPH_RM3_Terrier_Default,0.3933,0.3933,0.4467,0.3544,0.3665,0.069,0.011,0.563,0.5219,0.6932,0.7551,0.8065,0.8573,0.8886,0.7188,0.8284,0.8643,0.7894,0.907,0.8936,21.01,25.06,28.08,21.61,65.64,33.38,522931,10000,212.62,832.85,0.0,0.24,0.4353,0.7305
hotpotqa,DPH_Bo1_Terrier_Default,0.5534,0.5534,0.5941,0.4655,0.707,0.1201,0.0152,0.8774,0.6003,0.7165,0.7597,0.7975,0.8404,0.8682,0.5564,0.6941,0.7448,0.963,0.9916,0.8961,94.83,171.06,279.04,105.43,9.32,137.74,5233329,7405,4178.75,704.91,0.0,0.83,0.5855,0.946
hotpotqa,DPH_RM3_Terrier_Default,0.5651,0.5651,0.6013,0.4815,0.7579,0.1144,0.0143,0.8644,0.572,0.676,0.7144,0.7521,0.8014,0.8358,0.4878,0.6313,0.6907,0.9411,0.9808,0.8686,109.75,182.25,255.67,118.22,8.77,146.24,5233329,7405,4178.75,763.31,0.0,0.83,0.5936,0.9225
trec_covid,DPH_Bo1_Terrier_Default,0.6345,0.0,0.4884,0.0935,0.829,0.726,0.5552,0.98,0.0191,0.0742,0.1294,0.2085,0.3483,0.4606,0.0,0.0,0.0,1.0,1.0,0.9973,33.93,38.1,54.99,34.41,18.04,131.25,171332,50,287.0,775.27,0.0,0.33,0.5415,1.0
trec_covid,DPH_RM3_Terrier_Default,0.6192,0.0,0.4603,0.0859,0.8214,0.7,0.5202,0.98,0.0177,0.0701,0.1203,0.195,0.3383,0.4563,0.0,0.0,0.0,1.0,1.0,0.9947,35.21,39.44,52.43,35.43,24.59,114.11,171332,50,287.0,767.01,0.0,0.33,0.5146,1.0
webis_touche2020,DPH_Bo1_Terrier_Default,0.4457,0.4399,0.5298,0.2815,0.758,0.3837,0.0988,0.8776,0.2509,0.4766,0.5782,0.6879,0.7876,0.8721,0.0408,0.2449,0.3061,1.0,1.0,0.9945,47.19,56.15,63.17,46.05,16.42,144.22,382545,49,685.06,1624.97,0.0,0.87,0.4869,1.0
