dataset,policy,capacity,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
bright_aops,salience,20000,0.12446411274477566,0.08723723966551017,0.6178571428571429,0.15892857142857147,100.0,0.04,0.02
bright_aops,specificity,1000,0.09072477425927897,0.05349790118001348,0.5403928571428571,0.08146428571428571,61.3246147919605,0.0,0.02
bright_aops,specificity,2500,0.10621726852650427,0.06899039544723878,0.5837023809523809,0.12477380952380951,79.08365247658634,0.04,0.02
bright_aops,specificity,5000,0.11383479569458077,0.07660792261531528,0.6128571428571429,0.15392857142857147,87.81561969297698,0.04,0.02
bright_aops,specificity,10000,0.12231918856017657,0.08509231548091108,0.6178571428571429,0.15892857142857147,97.54127458316736,0.04,0.02
bright_aops,specificity,15000,0.12446411274477566,0.08723723966551017,0.6178571428571429,0.15892857142857147,100.0,0.04,0.02
bright_aops,specificity,20000,0.12446411274477566,0.08723723966551017,0.6178571428571429,0.15892857142857147,100.0,0.04,0.02
bright_aops,hybrid,1000,0.08663712630750925,0.04941025322824376,0.5403928571428571,0.08146428571428571,56.63894618593536,0.0,0.02
bright_aops,hybrid,2500,0.10621726852650427,0.06899039544723878,0.5837023809523809,0.12477380952380951,79.08365247658634,0.04,0.02
bright_aops,hybrid,5000,0.11383479569458077,0.07660792261531528,0.6128571428571429,0.15392857142857147,87.81561969297698,0.04,0.02
bright_aops,hybrid,10000,0.12231918856017657,0.08509231548091108,0.6178571428571429,0.15892857142857147,97.54127458316736,0.04,0.02
bright_aops,hybrid,15000,0.12446411274477566,0.08723723966551017,0.6178571428571429,0.15892857142857147,100.0,0.04,0.02
bright_aops,hybrid,20000,0.12446411274477566,0.08723723966551017,0.6178571428571429,0.15892857142857147,100.0,0.04,0.02
bright_aops,stratified,1000,0.08052114690811553,0.04329427382885004,0.5828571428571427,0.12392857142857133,49.62820235354916,0.02,0.02
bright_aops,stratified,2500,0.0923860832860071,0.05515921020674161,0.5995238095238095,0.14059523809523805,63.228972418471855,0.02,0.02
bright_aops,stratified,5000,0.10756035398624625,0.07033348090698076,0.6095238095238095,0.15059523809523806,80.62323060273029,0.02,0.02
bright_aops,stratified,10000,0.12129694128528298,0.08407006820601749,0.6178571428571429,0.15892857142857147,96.3694730924128,0.04,0.02
bright_aops,stratified,15000,0.12231918856017657,0.08509231548091108,0.6178571428571429,0.15892857142857147,97.54127458316736,0.04,0.02
bright_aops,stratified,20000,0.12446411274477566,0.08723723966551017,0.6178571428571429,0.15892857142857147,100.0,0.04,0.02
bright_aops,coverage,1000,0.06499699484372508,0.027770121764459588,0.5345238095238095,0.0755952380952381,31.832875353389582,0.0,0.02
bright_aops,coverage,2500,0.07630760476042668,0.03908073168116119,0.5461904761904762,0.08726190476190482,44.79822129976451,0.02,0.02
bright_aops,coverage,5000,0.08844215536394927,0.05121528228468378,0.5620238095238095,0.10309523809523807,58.70805000370969,0.04,0.02
bright_aops,coverage,10000,0.10846468097057986,0.07123780789131437,0.6153571428571428,0.15642857142857142,81.65986012906679,0.04,0.02
bright_aops,coverage,15000,0.11651153918077622,0.07928466610151073,0.6153571428571428,0.15642857142857142,90.88396928365498,0.04,0.02
bright_aops,coverage,20000,0.12250585423777631,0.08527898115851082,0.6178571428571429,0.15892857142857147,97.75524934705888,0.04,0.02
nfcorpus,salience,1000,0.5800749159540434,0.27024981065197,0.6979863615308585,0.342116404243974,63.05941851995366,0.84,0.54
nfcorpus,salience,2500,0.6955168032315058,0.3856916979294324,0.740568974432464,0.38469901714557947,89.9963413137227,0.84,0.56
nfcorpus,salience,5000,0.713576604735476,0.40375149943340266,0.7667793047023536,0.4109093474154691,94.21037046948317,0.84,0.56
nfcorpus,salience,10000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,salience,15000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,salience,20000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,specificity,1000,0.6689625553140088,0.3591374500119355,0.7071131696375906,0.35124321235070616,83.80023916337382,0.86,0.54
